site_id,source_path,source_filename,source_modified_date,output_path,notes
austin-heath,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/1 - Warwick,Warwick Phase 2.pdf,2023-08-02,public\sites\austin-heath\site-plan.png,"Landscape masterplan, all phases, colour render."
gifford-lea,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/2 - Gifford Lea,"P4175-02 - 00_051-A - The Grange, Estates Plan.pdf",2024-01-30,public\sites\gifford-lea\site-plan.png,"Issued estate plan Rev A, colour, phases 1-3, north arrow."
bramshott-place,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/3 - Bramshott,Bramshott.pdf,2023-08-02,public\sites\bramshott-place\site-plan.png,'Bramshott Place Phase 4 - Extent of Site' line drawing; only architectural site plan in folder.
millbrook-village,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/4 - Milbrook,Milbrook.pdf,2024-01-30,public\sites\millbrook-village\site-plan.png,"Barton Willmore site layout, full village, legend + accommodation schedule."
durrants-village,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/5 - Durrants,AA1100-31-17 I Overall Site Layout.pdf,2024-01-30,public\sites\durrants-village\site-plan.png,"'Overall Site Layout' Rev I, full building detail."
great-alne-park,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/6 - Great Alne Park,Great Alne_Phasing Site Plan_B_P1-P3.pdf,2024-01-30,public\sites\great-alne-park\site-plan.png,"Colour phasing site plan Rev B, phases 1-3."
ledian-gardens,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/7 - Ledian,Ledian_.202 Phase 1 and 2 Masterplan. Rev E 05 03 21.pdf,2024-01-30,public\sites\ledian-gardens\site-plan.png,"Colour masterplan Rev E dated 2021-03-05, phases 1 & 2."
elderswell,C:\Users\ChrisScott\OneDrive - NZA Consultancy Ltd\01a - Live Projects\26003 - IVG x NZA IESP\02 - Shared & Published\K_Client\2026_03_19 - Previous Data\Layouts/8 - Turvey-Elderswell,Elderswell_P5382_SK 502 - Elderswell Farm -.pdf,2024-01-30,public\sites\elderswell\site-plan.png,"Phase 02 walk-up replacement sketch (Option 4) - design-option drawing, not an issued masterplan; only site-overview drawing available."
ampfield-meadows,,,,,NO SITE PLAN - no Layouts subfolder in NZA Previous Data; chase up with IVG.
blendworth-hills,,,,,NO SITE PLAN - no Layouts subfolder in NZA Previous Data; chase up with IVG.
millfield-green,,,,,NO SITE PLAN - no Layouts subfolder in NZA Previous Data; chase up with IVG.
sonning-common,,,,,NO SITE PLAN - no Layouts subfolder in NZA Previous Data (Widmore Park); chase up with IVG.
